number,adjacency,consistency,transition,ordered,
1,T,T,{FT↓}=>{BS↑ FS↓}=>{FT↑}=>{BS↓ FS↑}=>,T,
4,T,T,{BS↓}=>{FT↓ FS↑}=>{BS↑}=>{FT↑ FS↓}=>,T,
6,T,T,{FT↓ BS↓}=>{FS↓}=>{FT↑ BS↑}=>{FS↑}=>,T,
10,T,T,{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>{BS↓}=>{FS↑}=>,T,
15,T,T,{BS↓}=>{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>{FS↑}=>,T,
9,T,T,{FT↓}=>{BS↑}=>{FT↑ FS↓}=>{BS↓}=>{FS↑}=>,T,
3,T,T,{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>{BS↓ FS↑}=>,T,
8,T,T,{FT↓}=>{BS↑ FS↓}=>{FT↑}=>{BS↓}=>{FS↑}=>,T,
13,T,T,{BS↓}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>{FS↑}=>,T,
2,T,T,{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>{BS↓ FS↑}=>,T,
7,T,T,{FT↓ BS↓}=>{FS↓}=>{BS↑}=>{FT↑}=>{FS↑}=>,T,
18,F,T,{BS↓}=>{FT↓ FS↑}=>{FT↑ BS↑ FS↓}=>,T,
24,F,T,{FT↓ BS↓ FS↑}=>{FS↓}=>{FT↑ BS↑}=>,T,
11,T,T,{BS↓}=>{FS↑}=>{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>,F,
12,T,T,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑ FS↓}=>{FT↑}=>,F,
5,T,T,{BS↓}=>{FT↓ FS↑}=>{BS↑}=>{FS↓}=>{FT↑}=>,F,
14,T,T,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,F,
16,F,T,{FT↓ BS↓ FS↑}=>{FT↑ BS↑ FS↓}=>,F,
27,F,T,{BS↓ FS↑}=>{FT↓}=>{BS↑}=>{FT↑ FS↓}=>,F,
17,F,T,{BS↓ FS↑}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,F,
28,F,T,{BS↓ FS↑}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>,F,
29,F,T,{BS↓}=>{FT↓ FS↑}=>{BS↑ FS↓}=>{FT↑}=>,F,
19,F,T,{FS↑}=>{FT↓ BS↓}=>{FT↑ BS↑ FS↓}=>,F,
30,F,T,{BS↓}=>{FT↓ FS↑}=>{FS↓}=>{FT↑ BS↑}=>,F,
20,F,T,{BS↓}=>{FS↑}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,F,
31,F,T,{BS↓}=>{FT↓ FS↑}=>{FS↓}=>{BS↑}=>{FT↑}=>,F,
21,F,T,{FS↑}=>{BS↓}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,F,
32,F,T,{FS↑}=>{FT↓ BS↓}=>{BS↑ FS↓}=>{FT↑}=>,F,
22,F,T,{FT↓ BS↓ FS↑}=>{BS↑ FS↓}=>{FT↑}=>,F,
33,F,T,{FS↑}=>{FT↓ BS↓}=>{BS↑}=>{FT↑ FS↓}=>,F,
23,F,T,{FT↓ BS↓ FS↑}=>{BS↑}=>{FT↑ FS↓}=>,F,
34,F,T,{FS↑}=>{FT↓ BS↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,F,
35,F,T,{BS↓}=>{FS↑}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>,F,
25,F,T,{FT↓ BS↓ FS↑}=>{BS↑}=>{FS↓}=>{FT↑}=>,F,
36,F,T,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑}=>{FT↑ FS↓}=>,F,
26,F,T,{FT↓ BS↓ FS↑}=>{FS↓}=>{BS↑}=>{FT↑}=>,F,
