number,adjacency,transition,
1,T,{BS↓ FS↑}=>{FT↓}=>{BS↑  FS↓}=>{FT↑}=>,
9,T,{BS↓}=>{FS↑}=>{FT↓}=>{BS↑}=>{FT↑ FS↓}=>,
2,T,{BS↓ FS↑}=>{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,
10,T,{BS↓}=>{FS↑}=>{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,
3,T,{BS↓ FS↑}=>{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>,
11,{BS↓}=>{FS↑}=>{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>,
4,T,{BS↓}=>{FT↓ FS↑}=>{BS↑}=>{FT↑ FS↓}=>,
12,T,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑ FS↓}=>{FT↑}=>,
5,T,{BS↓}=>{FT↓ FS↑}=>{BS↑}=>{FS↓}=>{FT↑}=>,
13,T,{FS↑}=>{BS↓}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>,
6,T,{FS↑}=>{FT↓ BS↓}=>{FS↓}=>{FT↑ BS↑}=>,
14,T,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,
7,T,{FS↑}=>{FT↓ BS↓}=>{FS↓}=>{BS↑}=>{FT↑}=>,
15,T,{FS↑}=>{BS↓}=>{FT↓}=>{FS↓}=>{BS↑}=>{FT↑}=>,
8,T,{BS↓}=>{FS↑}=>{FT↓}=>{BS↑  FS↓}=>{FT↑}=>,
16,F,{FT↓ BS↓ FS↑}=>{FT↑ BS↑ FS↓}=>,
27,F,{BS↓ FS↑}=>{FT↓}=>{BS↑}=>{FT↑ FS↓}=>,
17,F,{BS↓ FS↑}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,
28,F,{BS↓ FS↑}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>,
18,F,{BS↓}=>{FT↓ FS↑}=>{FT↑ BS↑ FS↓}=>,
29,F,{BS↓}=>{FT↓ FS↑}=>{BS↑ FS↓}=>{FT↑}=>,
19,F,{FS↑}=>{FT↓ BS↓}=>{FT↑ BS↑ FS↓}=>,
30,F,{BS↓}=>{FT↓ FS↑}=>{FS↓}=>{FT↑ BS↑}=>,
20,F,{BS↓}=>{FS↑}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,
31,F,{BS↓}=>{FT↓ FS↑}=>{FS↓}=>{BS↑}=>{FT↑}=>,
21,F,{FS↑}=>{BS↓}=>{FT↓}=>{FT↑ BS↑ FS↓}=>,
32,F,{FS↑}=>{FT↓ BS↓}=>{BS↑ FS↓}=>{FT↑}=>,
22,F,{FT↓ BS↓ FS↑}=>{BS↑ FS↓}=>{FT↑}=>,
33,F,{FS↑}=>{FT↓ BS↓}=>{BS↑}=>{FT↑ FS↓}=>,
23,F,{FT↓ BS↓ FS↑}=>{BS↑}=>{FT↑ FS↓}=>,
34,F,{FS↑}=>{FT↓ BS↓}=>{BS↑}=>{FS↓}=>{FT↑}=>,
24,F,{FT↓ BS↓ FS↑}=>{FS↓}=>{FT↑ BS↑}=>,
35,F,{BS↓}=>{FS↑}=>{FT↓}=>{FS↓}=>{FT↑ BS↑}=>,
25,F,{FT↓ BS↓ FS↑}=>{BS↑}=>{FS↓}=>{FT↑}=>,
36,F,{FS↑}=>{BS↓}=>{FT↓}=>{BS↑}=>{FT↑ FS↓}=>,
26,F,{FT↓ BS↓ FS↑}=>{FS↓}=>{BS↑}=>{FT↑}=>,
